city,lon,lat,weather_id,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,rain_1h,clouds_all,sunrise,sunset
Prince Albert,-105.7677,53.2001,741,Fog,fog,-24.03,-24.03,-24.03,-24.03,1026,77,805,0,0,0,100,1732632474,1732661618
Moose Jaw,-105.5344,50.4001,601,Snow,snow,-16.86,-23.86,-16.86,-16.85,1022,85,1609,5.66,100,0,100,1732631677,1732662304
import csv

# Specify the path to the CSV file
csv_file = r"C:\Users\sarita\Downloads\canadian_cities_weather.csv"

# Open the CSV file and read its contents
with open(csv_file, mode="r", newline="") as file:
    reader = csv.reader(file)
    
    # Convert the reader to a list to get the rows
    rows = list(reader)
    
    # Number of rows (excluding the header)
    num_rows = len(rows) - 1  # Subtract 1 for the header row
    
    # Number of columns (based on the first row)
    num_columns = len(rows[0]) if rows else 0

# Print the number of rows and columns
print(f"Number of rows (excluding header): {num_rows}")
print(f"Number of columns: {num_columns}")
